id;texto;rotulo;fonte
230;Em 2015, mais de 13,7 milhões de famílias recebiam o Bolsa Família, mas o governo golpista de Temer e PSDB têm ameaçado o programa. Em 2017, mais de 326 mil domicílios deixaram de receber o benefício.;FALSO;AOS FATOS
231;A Lei das Cotas aumentou em 286% a presença de estudantes negros nas universidades brasileiras.;FALSO;AOS FATOS
232;As matrículas na educação superior saltaram de 3,4 milhões em 2002 para 8,1 milhão em 2015.;VERDADE;AOS FATOS
233;22% da população paga por planos de saúde coletivos e individuais.;VERDADE;AOS FATOS
234;Em 2016, Apenas 2% de mortes violentas no Brasil estiveram associadas com ações policiais.;FALSO;AOS FATOS
235;De 2012 a 2016, o custo total da União com as dezoito empresas dependentes do governo federal foi de R$ 122,31 bilhões. O retorno, nesse mesmo período, foi de R$ 89,35 bilhões, 73% do total gasto.;FALSO;AOS FATOS
236;Está previsto pelo atual governo que, para 2019, o Brasil terá déficit primário de R$ 139 bilhões.;VERDADE;AOS FATOS
237;Em 2019, o valor das renúncias tributárias é de R$ 303,5 bilhões (19% da arrecadação).;VERDADE;AOS FATOS
238;Aprovamos tudo aqui em São Paulo. Não teve um projeto meu que não tenha sido aprovado pela Câmara.;FALSO;AOS FATOS
239;O PT nunca foi um partido com mais de 100 deputados.;VERDADE;AOS FATOS
240;O Lula tem muito orgulho de ter sido o presidente que pagou o FMI.;VERDADE;AOS FATOS
241;Se gasta muito pouco, levando-se em conta o que se gasta no ensino superior. Se gasta muito pouco no ensino básico. - Jair Bolsonaro (PSL);VERDADE;AOS FATOS
242;Um jovem chega ao 9° ano, termina o ensino básico, não sabe ler ou interpretar um texto. Só 30% sabem. Só 14% sabem fazer operações simples de matemática. - Marina Silva (Rede);VERDADE;AOS FATOS
243;O Brasil investe 6% do PIB em educação. Nos países da OCDE, é 5,6% do PIB - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
244;Propomos a modernização e aprimoramento do programa Bolsa Família e do Abono Salarial, com vantagens para os beneficiários. Vamos deixar claro: nossa meta é garantir, a cada brasileiro, uma renda igual ou superior ao que é atualmente pago pelo Bolsa Família.;FALSO;AOS FATOS
245;Os governos do PT Fizeram a economia crescer em média 4% ao ano.;FALSO;AOS FATOS
246;Governos do PT geraram 20 milhões de empregos no país.;VERDADE;AOS FATOS
247;O governo Temer deu um reajuste de salário mínimo abaixo da inflação.;VERDADE;AOS FATOS
248;É o mesmo presidente Lula que pagou o FMI.;VERDADE;AOS FATOS
249;As mulheres são maioria na pós-graduação.;VERDADE;AOS FATOS
250;Lula foi o presidente que mais criou universidades.;VERDADE;AOS FATOS
251;Se arma causasse uma explosão de mortes, os EUA seria o país mais violento no mundo.;FALSO;AOS FATOS
252;Quando essa proposta aí do senhor Michel Temer para a reforma da Previdência chegou, eu estava no Piauí, e lá nessa proposta inicial falava-se em 65 anos de idade mínima de aposentadoria, inclusive para o policial militar.;FALSO;AOS FATOS
253;Não é meu pensamento isso de que mulheres devem ganhar menos do que homens porque engravidam.;FALSO;AOS FATOS
254;Eu nunca fui homofóbico.;FALSO;AOS FATOS
255;O Brasil tem mais da metade do seu território demarcado, entre terra indígena, parque nacional, quilombola, proteção ambiental, etc, um monte de coisa.;FALSO;AOS FATOS
256;O Brasil investe 6% do PIB em educação. Nos países da OCDE é 5,6% do PIB.;VERDADE;AOS FATOS
257;O Itamaraty denuncia a ditadura na Venezuela.;VERDADE;AOS FATOS
258;Temos um efetivo de 11 mil policiais federais. Metade está carimbando papel.;FALSO;AOS FATOS
259;O salário mínimo com o Lula subiu de US$ 76 a poder de compra para US$ 320 quando a Dilma tomou posse.;FALSO;AOS FATOS
260;93% dos trabalhadores não têm sindicalização.;VERDADE;AOS FATOS
261;Veja por exemplo os meus gastos deste ano, de tudo, passagem, gabinete, tudo. A única coisa que eu uso do gabinete é a cota de passagem.;FALSO;AOS FATOS
262;Não moro em apartamento funcional, não uso auxílio-moradia.;VERDADE;AOS FATOS
263;Ele Joel Malucelli não está sendo investigado, a empresa está sendo investigada.;VERDADE;AOS FATOS
264;Eu nunca ataquei banqueiros.;FALSO;AOS FATOS
265;Os portugueses nem pisavam na África na época da escravidão.;FALSO;AOS FATOS
266;Eu tenho uns 500 projetos apresentados.;FALSO;AOS FATOS
267;Eu nunca disse isso que queria ser vice do Aécio.;FALSO;AOS FATOS
268;O Trump resgatou o emprego.;FALSO;AOS FATOS
269;O Trump diminuiu a carga tributária.;VERDADE;AOS FATOS
270;Ciro Gomes foi parlamentar por quatro anos e, além de não aprovar nada, ele apresentou zero projetos.;VERDADE;AOS FATOS
271;Alberto Youssef também disse em delação premiada em juízo que eu fui um dos três deputados federais do PP que não foi buscar dinheiro na Petrobras Ana Amélia, Jair Bolsonaro e Paulo Maluf.;VERDADE;AOS FATOS
272;Imposto sobre herança, o máximo no Brasil é 8%. Nos Estados Unidos, é 40%.;VERDADE;AOS FATOS
273;Quem tem carro pagou IPVA no começo do ano. Quem tem jatinho, helicóptero e iate não paga um real de imposto.;VERDADE;AOS FATOS
274;O governo federal não corrige a tabela do SUS há mais de 10 anos.;FALSO;AOS FATOS
275;Se você pegar o orçamento da educação federal, apenas 30% é para educação básica.;VERDADE;AOS FATOS
276;O Brasil tem mais de 16 mil sindicatos. E, aliás, uma outra coisa estranha. Dos 16 mil, 11,5 mil mais ou menos são sindicatos de trabalhadores. E mais de 5.000 patronais;VERDADE;AOS FATOS
277;Dívida pública bruta do governo geral é 76% do PIB.;VERDADE;AOS FATOS
278;Ele Geraldo Alckmin perde em casa São Paulo para mim em toda pesquisa de opinião.;FALSO;AOS FATOS
279;Ao longo dos anos praticamente fui recordista de representações para cassar meu mandato (de deputado federal), pelos mesmos partidos e pelos mesmos parlamentares.;VERDADE;AOS FATOS
280;Temos 30% de mães solteiras no Brasil.;VERDADE;AOS FATOS
281;A emenda constitucional 81, que relativizou a propriedade privada.;FALSO;AOS FATOS
282;Em 1980, um terço da riqueza brasileira vinha da indústria de transformação. Hoje, apenas 11%.;FALSO;AOS FATOS
283;Sabem quantos brasileiros, meus irmãos e minhas irmãs, estão hoje sofrendo a humilhação de terem seus nomes sujos no SPC e Serasa? 63 milhões de brasileiros.;VERDADE;AOS FATOS
284;Essa falta de oportunidade já empurrou outros 32 milhões de brasileiros, homens e mulheres de carne e osso, para a informalidade.;VERDADE;AOS FATOS
285;Me prenderam com uma condenação sem provas, em uma sentença que me envia para a prisão por atos indeterminados.;FALSO;AOS FATOS
286;O desemprego aumenta.;FALSO;AOS FATOS
287;A pobreza cresce.;VERDADE;AOS FATOS
288;A vacinação de crianças cai.;VERDADE;AOS FATOS
289;Paraguai está crescendo quase 7% ao ano.;FALSO;AOS FATOS
290;Nas últimas provas do Pisa, 70% da garotada nossa não sabe uma regra de três simples.;VERDADE;AOS FATOS
291;Eu não tenho nenhuma empresa, não sou sócio de ninguém.;FALSO;AOS FATOS
292;O Brasil tem mais de 14 milhões de cirurgias eletivas pendentes.;FALSO;AOS FATOS
293;O Brasil teve 62.500 homicídios em 12 meses.;VERDADE;AOS FATOS
294;O Brasil é o campeão de homofobia.;FALSO;AOS FATOS
295;70% das crianças não têm acesso às creches.;VERDADE;AOS FATOS
296;50% das mulheres que são mães de um filho de até um ano não consegue voltar para o mercado de trabalho.;VERDADE;AOS FATOS
297;No Brasil inteiro, o ICMS do álcool é 18% ou 25%.;FALSO;AOS FATOS
298;O ICMS sobre o álcool em São Paulo é 12%. É o menor imposto do Brasil.;VERDADE;AOS FATOS
299;Nós fizemos no ano passado um superávit de R$ 5,3 bilhões.;VERDADE;AOS FATOS
300;Saímos de 13 mil assassinatos por ano em 2001 para, no ano passado, 3.503. 8,02 por 100 mil habitantes ano.;VERDADE;AOS FATOS
301;O crescimento no final do ano sobre o início do ano foi de 2,1%. Portanto, mais ou menos no ritmo previsto.;VERDADE;AOS FATOS
302;O efetivo da polícia é muito menor do que o necessário.;VERDADE;AOS FATOS
303;Os 20% de menor renda da população não tem condição de completar 35 anos de contribuição com carteira assinada. Essas pessoas de menor renda em sua grande maioria já se aposentam com 65 anos, que é a aposentadoria por idade para homem na Constituição atual.;VERDADE;AOS FATOS
304;As refinarias da Petrobras estão operando com 70% da sua capacidade...;VERDADE;AOS FATOS
305;Voltamos a velha lógica colonial de exportar petróleo cru e importar derivado.;FALSO;AOS FATOS
306;A ao mesmo tempo em que nós temos 7,9 milhões de imóveis abandonados.;FALSO;AOS FATOS
307;Comigo, o programa será mantido. Vou deixar isso claro em um programa de governo. Quero combater essa fake news de que vou acabar com o programa.;FALSO;AOS FATOS
308;O Fundo Monetário Internacional frisou que, de 90 países, 50 deles adotam uma política de teto de gastos porque é necessário o controle dos gastos públicos.;VERDADE;AOS FATOS
309;Nós tivemos um referendo em que 63% da população optou por revogar o artigo 35, que diz respeito à venda de armas.;VERDADE;AOS FATOS
310;A indústria brasileira já respondeu a 27% das gerações de empregos, os manufaturados. Hoje, próximo de 10%.;FALSO;AOS FATOS
311;Temos 60.000 homicídios por ano.;VERDADE;AOS FATOS
312;12 milhões que já desistiram de procurar emprego.;FALSO;AOS FATOS
313;Ter tido 19 milhões de votos em 2010. ter tido 22 milhões de votos em 2014.;VERDADE;AOS FATOS
314;Em 2010, eu já propus isso: nós não podemos gastar mais do que aquilo que arrecadamos e o nosso compromisso é gastar apenas a metade do que cresceu o PIB.;VERDADE;AOS FATOS
315;Hoje nós temos oito pessoas trabalhando para cada dois aposentados. Daqui a bem pouco tempo, nós vamos ter duas pessoas para oito aposentados. Isso é insustentável, quando chegarmos acho que em torno de 2060.;FALSO;AOS FATOS
316;Os que não têm prerrogativa de foro estão sendo condenados, e os que têm, não.;VERDADE;AOS FATOS
317;Eu sou a favor do controle do gasto público. Desde 2010 eu propunha gastar metade do crescimento do PIB.;VERDADE;AOS FATOS
318;Eu não tinha R$ 2 milhões para dar para a campanha em 2014.;VERDADE;AOS FATOS
319;O problema é uma reforma da Previdência draconiana como o Temer tentou fazer. Você dizer que uma pessoa vai ter que passar 49 anos para poder receber a aposentadoria integral, 25 anos contribuindo para poder se aposentar por tempo de serviço não é razoável.;FALSO;AOS FATOS
320;Os governos do PT acabaram com o curso técnico no ensino médio. – Jair Bolsonaro (PSL), em entrevista à rádio Jovem Pan.;FALSO;AGÊNCIA PÚBLICA
321;Eu levei universidades federais para 126 cidades brasileiras. – Fernando Haddad (PT), em entrevista ao SBT.;FALSO;AGÊNCIA PÚBLICA
322;Você vai tomar uma tabuada de uma criança de 9 anos de idade, 70% não sabe. Quem disse isso são as provas, como o Pisa Programa Internacional de Avaliação de Estudantes. – Jair Bolsonaro (PSL).;FALSO;AGÊNCIA PÚBLICA
323;Paraná Pesquisas registrado no TSE: o mito Bolsonaro vence em todos os estados, porque o povo quer renovação! – Mensagem que circula no WhatsApp.;FALSO;AGÊNCIA PÚBLICA
324;Um policial hoje precisa esperar o bandido atirar para reagir. – Jair Bolsonaro (PSL), em entrevista ao SBT.;FALSO;AGÊNCIA PÚBLICA
325;Há 22 processos na Justiça de São Paulo contra o candidato do PT, Fernando Nami Haddad, tramitando no Foro Central – Fazenda Pública. – Corrente sobre o presidenciável Fernando Haddad (PT), que circula no WhatsApp.;FALSO;AGÊNCIA PÚBLICA
326;Tracking BTG que acabou de sair para o mercado financeiro: Bolsonaro, 52% Haddad, 48%. P.S.: Votos válidos. – Corrente sobre a disputa presidencial que circula pelo WhatsApp.;FALSO;AGÊNCIA PÚBLICA
327;Você sabe que o Maluf aqui em São Paulo quase ganhou duas eleições com mais de 45% dos votos no 1º turno, depois perdeu no 2º turno - Fernando Haddad.;FALSO;AGÊNCIA PÚBLICA
328;Hoje a classificação do Brasil é superior à da época de Fernando Henrique Cardoso - Fernando Haddad.;VERDADE;AGÊNCIA PÚBLICA
329;O Brasil priorizou seu comércio com viés ideológico no governo PT. Priorizou o Mercosul. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
330;Tem aí uma questão de metodologia do IBGE, sobre o número de desempregados. Quem não procura emprego, é tido como empregado. Quem no ano passado trabalhou dois, três dias, é tido como empregado. Quem recebe o auxílio-desemprego é tido como empregado. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
331;Que tal estimular relação sexual entre pai e filha? Espanto? Esta é a leitura que foi disponibilizada pelo ministro de Educação Fernando Haddad enquanto esteve à frente deste ministério. O governo comprou e distribuiu para escolas e entre criancinhas um livro em que o pai castiga a filha por ‘não querer ser dele’. Você pensa que já tinha visto de tudo? Engana-se!!!.;FALSO;AGÊNCIA PÚBLICA
332;Fernando Haddad é réu por improbidade em ação que apura prejuízo milionário em construção de ciclovias.;VERDADE;AGÊNCIA PÚBLICA
333;Fernando Haddad é acusado de enriquecimento ilícito por caixa 2 em esquema com empreiteiras.;VERDADE;AGÊNCIA PÚBLICA
334;Fernando Haddad é acusado de improbidade em ação que investiga desvio de R$ 130 milhões do Teatro Municipal.;VERDADE;AGÊNCIA PÚBLICA
335;Fernando Haddad deixou 340 mil pessoas sem atendimento médico em São Paulo.;FALSO;AGÊNCIA PÚBLICA
336;Fernando Haddad deixou a prefeitura de São Paulo avaliado como um dos piores prefeitos da história.;VERDADE;AGÊNCIA PÚBLICA
337;Fernando Haddad deixou um rombo de R$ 7,5 bilhões em São Paulo.;FALSO;AGÊNCIA PÚBLICA
338;Ex-ministro da Educação, hoje mais de 70% dos estudantes têm desempenho insuficiente em português e matemática.;FALSO;AGÊNCIA PÚBLICA
339;Ele, Bolsonaro contratou ilegalmente a esposa atual no seu gabinete.;FALSO;AGÊNCIA PÚBLICA
340;Bolsonaro triplicou o salário de Michelle, sua esposa.;VERDADE;AGÊNCIA PÚBLICA
341;Bolsonaro contratou uma funcionária fantasma com a verba do seu gabinete. Ela vende açaí em Angra dos Reis, onde ele tem uma mansão.;VERDADE;AGÊNCIA PÚBLICA
342;Bolsonaro ocultou patrimônio pessoal da Justiça Eleitoral em 2006.;VERDADE;AGÊNCIA PÚBLICA
343;Bolsonaro é acusado de sonegação de impostos.;FALSO;AGÊNCIA PÚBLICA
344;Bolsonaro é acusado de enriquecimento ilícito através da máquina pública.;FALSO;AGÊNCIA PÚBLICA
345;Bolsonaro está apontado em suspeita de lavagem de dinheiro.;FALSO;AGÊNCIA PÚBLICA
346;Bolsonaro envolvido em caixa 2 de campanha.;FALSO;AGÊNCIA PÚBLICA
347;Há países tão desiguais como o nosso que não têm uma violência tão grande. – Fernando Haddad;VERDADE;AGÊNCIA PÚBLICA
348;Propostas do plano de governo PT, algumas apenas: desmilitarização das polícias, militares obviamente. Outro item: revogação da Lei de Anistia. – Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
349;Haddad sobe e vence Bolsonaro no 2º turno, via Instagram. – Fernando Haddad (PT);FALSO;AGÊNCIA PÚBLICA
350;Haddad: Qual é a pessoa que hoje está na vida pública e não está investigada? Bonner: Jair Bolsonaro, do PSL.;FALSO;AGÊNCIA PÚBLICA
351;Quem paga mais imposto no Brasil, proporcionalmente, é o pobre. – Fernando Haddad (PT);FALSO;AGÊNCIA PÚBLICA
352;Jair Bolsonaro está muito perto de vencer eleição no primeiro turno no Brasil afirma agência americana que previu com exatidão a vitória de Trump nos EUA.;FALSO;AGÊNCIA PÚBLICA
353;Como ministro da Educação, eu nunca tive um voto contrário do PSDB. – Fernando Haddad (PT).;FALSO;AGÊNCIA PÚBLICA
354;Nos Estados Unidos, o número de mortes por 100 mil habitantes é na ordem de cinco vezes menos do que aqui. - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA PÚBLICA
355;Ninguém tem qualquer comprovação que esse pessoal, esses 12 mil médicos do programa Mais Médicos, aproximadamente, têm qualquer conhecimento de medicina. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
356;Nós não temos pesquisa no Brasil, é coisa rara. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
357;O Ibama leva dez anos para conceder uma licença para uma pequena central hidrelétrica. - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA PÚBLICA
358;O Brasil gasta anualmente um Plano Marshall (que reconstruiu a Europa após a Segunda Guerra Mundial) com o pagamento de juros. - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA PÚBLICA
359;De 193 países no mundo, apenas 3 usam urnas eletrônicas: Brasil, Cuba e Venezuela. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
360;Em Roraima, com a chegada de refugiados venezuelanos, a violência multiplicou-se por quatro.  - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
361;A questão de saúde bucal é responsável por 30% dos partos prematuros. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
362;Hoje em dia nós temos o pior índice de educação do Brasil. Na penúltima prova do Pisa no Brasil nós ficamos nos últimos lugares entre 64 países. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
363;Hoje em dia, praticamente metade do que se arrecada é para juros e rolagem de dívida. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
364;Apesar de Roraima ser um estado riquíssimo nas suas riquezas minerais, biodiversidade e terras agricultáveis, é um estado que nada produz, dada a questão indigenista e ambiental. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
365;93% do Orçamento hoje é comprometido com despesas obrigatórias. - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA PÚBLICA
366;Você não pode ter uma hidrelétrica em Roraima para produzir energia para o estado. - Jair Bolsonaro (PSL);FALSO;AGÊNCIA PÚBLICA
367;Não é estranho os observadores do processo eleitoral da OEA se reunirem com os Membros do PT liderados por Haddad?;FALSO;AGÊNCIA LUPA
368;Trump mostra camiseta pró-Bolsonaro;FALSO;AGÊNCIA LUPA
369;Eu, Paulo Roberto Duarte Pereira, apertei no 17, Bolsonaro, está aparecendo ‘nulo’ aqui. Vocês estão falsificando as urnas.;FALSO;AGÊNCIA LUPA
370;Adiar o horário de verão foi uma jogada dos picaretas as urnas estão programadas para o horário de (sic) verão. Sendo assim todos os votos computados antes das 9 e após as 16 hrs se perderão;FALSO;AGÊNCIA LUPA
371;Haddad ladrão rouba a foto do carnaval de Salvador e chama de foto da virada!;FALSO;AGÊNCIA LUPA
372;Datafolha computou para Haddad voto declarado em Bolsonaro;FALSO;AGÊNCIA LUPA
373;Despedida do horário eleitoral do Bolsonaro, onde foi autorizado pela Viviane Senna à usar o Tema da Vitória no piano.;FALSO;AGÊNCIA LUPA
374;Capa da Veja, Eu chegando ao poder acabarei com tudo o que o PT fez - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
375;Essa é a jornalista Patrícia Campos Mello, que fez matéria contra Bolsonaro na Folha. Petista de carteirinha;FALSO;AGÊNCIA LUPA
376;Acabou de dar agora na Odisseia FM 104.9 que a Brigada Militar de Serafina Corrêa aprendeu 4 urnas eletrônicas, dessas 3 urnas estavam preenchida com voto para o Haddad com pelo menos 81%;FALSO;AGÊNCIA LUPA
377;Haddad: ‘Parabéns Maduro! Estamos juntos;FALSO;AGÊNCIA LUPA
378;Kakay Um dos quatro advogados de Adélio Bispo ao lado de Haddad;FALSO;AGÊNCIA LUPA
379;Ontem 21 de outubro, ele Bolsonaro fez um vídeo muito grave dizendo que os adversários não terão lugar no Brasil, ou a cadeia ou o exílio;VERDADE;AGÊNCIA LUPA
380;O meu patrimônio é muito inferior ao dele Bolsonaro, diga-se de passagem;VERDADE;AGÊNCIA LUPA
381;Bolsonaro falou que nordestinos deviam comer capim;FALSO;AGÊNCIA LUPA
382;Em 2016, eu dei uma entrevista dizendo que havia uma ameaça de extrema-direita no Brasil, sem saber quem seria o candidato - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
383;Ministros de FHC estão me apoiando - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
384;Nós praticamente triplicamos o número de universitários no Brasil no meu período como ministro da Educação - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
385;O governo Temer dobrou o preço do gás de cozinha - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
386;Com o Programa Mais Médicos 60 milhões de brasileiros que não tinham atendimento médico passaram a ter. Fernando Haddad;VERDADE;AGÊNCIA LUPA
387;Tendo apenas 20 dias de campanha, atingi 29% dos votos, mais de 30 milhões de votos - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
388;Nosso plano de governo Prevê isenção de imposto de renda para quem ganha até cinco salários mínimos, proposta defendida por nós desde janeiro de 2018 - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
389;Vocês PSDB indicaram quatro ministros do governo Temer. Ainda agora tem um remanescente - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
390;A Constituição Federal tem mais de 100 emendas constitucionais - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
391;Teto de gastos foi aprovado com apoio do PSDB - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
392;Você Marina Silva participou desse movimento para o impeachment de Dilma Rousseff - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
393;Bispos católicos do Brasil se manifestaram textualmente contra a Reforma Trabalhista - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
394;Não existe nenhum lugar do mundo que tenha aplicado essa medida teto de gastos - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
395;Cinco bancos, inclusive dois públicos, concentram mais de 80% do crédito - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
396;A população queria elegê-lo Lula no primeiro turno. Não é no segundo. É no primeiro turno - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
397;Provavelmente, vai ter uma reforma partidária no ano que vem em função do fim da cláusula de barreira - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
398;Haddad propôs mandato limitado para a Suprema Corte de 12, de 15 anos como alguns países têm;VERDADE;AGÊNCIA LUPA
399;Só tem dois brasileiros que ficaram mais tempo do que eu no Ministério da Educação - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
400;Lula Herdou 32% de carga tributária de FHC e entregou a Dilma com 32,5% - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
401;Em 2016 o PSDB era de santos, o PMDB era de santos, o PP era de santos - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
402;Na época das eleições de 2016, o PT estava sozinho, na berlinda, enquanto todas as delações relativas ao PSDB, PP, PMDB estavam represadas - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
403;O PT, em 2016, perdeu 60% dos votos no país - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
404;Ao estourar a âncora cambial, FHC Provocou um rombo nas contas externas monumental - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
405;Nós estamos com mais de 90% de cobertura escolar na faixa etária de 4 a 5 anos - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
406;Mais de 50% dos eleitores votariam ‘Lula’ no segundo turno em qualquer cenário, contra qualquer adversário - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
407;O Piauí ficou em segundo lugar no ranking de eficiência nos gastos no quesito segurança pública - Fernando Haddad ;VERDADE;AGÊNCIA LUPA
408;Só o Haddad teve 9909 votos em uma seção com 777 eleitores. Como assim?;FALSO;AGÊNCIA LUPA
409;A Hidrelétrica de Tumarín, Nicarágua, foi bancada pelo BNDES. Custo: US$ 1,1 bilhão;FALSO;AGÊNCIA LUPA
410;Citation Sovereign. Um dos jatos mais luxuosos do momento. Fretado para atender o candidato dos pobres (Fernando Haddad);VERDADE;AGÊNCIA LUPA
411;Livro de Haddad defende sexo entre pais e filhos;FALSO;AGÊNCIA LUPA
412;Olha o eleitor do Bolsonaro que foi xingar o Haddad na Missa. Na verdade, é um petista passando por eleitor do Bolsonaro;FALSO;AGÊNCIA LUPA
413;José Sérgio Gabrielli encomendou reportagem à Folha de S.Paulo;FALSO;AGÊNCIA LUPA
414;Urnas estavam preenchidas com voto para o Haddad com pelo menos 81%;FALSO;AGÊNCIA LUPA
415;Quadrilha tenta sacar cheque de R$ 68 milhões para Haddad na Bahia;FALSO;AGÊNCIA LUPA
416;Carlos Vereza afirma: ‘O PT não é um partido. É uma organização criminosa. Aparelharam os poderes do país. Aparelharam os poderes do país’;VERDADE;AGÊNCIA LUPA
417;Eu, dentro do hospital, baixado, de cama, cresci muito mais do que ele Haddad nas ruas;FALSO;AGÊNCIA LUPA
418;Ele Haddad e sua coligação tiveram mais de R$ 500 milhões para a campanha;FALSO;AGÊNCIA LUPA
419;Para nós, coube apenas R$ 3 milhões, e eu não usei a parte desse fundo partidário - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
420;A Inglaterra, há 20 e poucos anos atrás, diminuiu a sua carga tributária - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
421;A Assembleia Legislativa do Ceará me concedeu um título de Cidadão Cearense - Fernando Haddad (PT);VERDADE;AGÊNCIA LUPA
422;Foto de Dilma e Fidel em Cuba;FALSO;AGÊNCIA LUPA
423;O Brasil tem 22 hidrelétricas, das quais 20 foram construídas durante o regime militar;FALSO;AGÊNCIA LUPA
424;O outro lado que está disputando comigo Haddad diz, em seu próprio plano de governo, diz que vai exercer controle social da mídia;FALSO;AGÊNCIA LUPA
425;O plano de governo de Haddad propõe Criar mais estatais;FALSO;AGÊNCIA LUPA
426;Eles PT tentaram também censurá-la a internet, via Marco Civil da internet;FALSO;AGÊNCIA LUPA
427;Não temos qualquer comprovação de que são médicos os cubanos que fazem parte do programa Mais Médicos;FALSO;AGÊNCIA LUPA
428;No referendo de 2005, o povo decidiu que quer ter o direito de comprar armas e munições;VERDADE;AGÊNCIA LUPA
429;Trabalharemos pela Redução da nossa maioridade penal, que é o povo quer e deseja - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
430;O voto eletrônico É um sistema eleitoral que não existe em nenhum lugar do mundo - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
431;Me achem um áudio, uma imagem minha dizendo que mulher tem que ganhar menos do que homem. Não existe - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
432;No referendo de 2005, o Brasil foi desarmado;FALSO;AGÊNCIA LUPA
433;Bolsonaro propôs cortar o 13º salário;FALSO;AGÊNCIA LUPA
434;Eu, praticamente, tripliquei o número de universitários no Brasil - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
435;Não existe nenhum lugar do mundo que tenha aplicado essa medida teto de gastos - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
436;Mourão também propõe confisco da poupança;FALSO;AGÊNCIA LUPA
437;Fernando Haddad Sequer conseguiu passar para o 2º turno em São Paulo;VERDADE;AGÊNCIA LUPA
438;Ele mesmo Palocci diz: ‘nas últimas campanhas, Dilma Rousseff gastou em torno de R$ 1,5 bilhão;VERDADE;AGÊNCIA LUPA
439;Eu não estou coligado com ninguém - Jair Bolsonaro (PSL);FALSO;AGÊNCIA LUPA
440;Tem uma passagem falsa dele Adélio Bispo de Oliveira, agressor de Bolsonaro pela Câmara dos Deputados no dia 6 de setembro;FALSO;AGÊNCIA LUPA
441;No governo do PT, umas 50 empresas estatais foram criadas - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
442;Temos até a estatal do trem-bala - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
443;Quem criou a CPMF foi o Fernando Henrique Cardoso - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
444;O próprio José Dirceu acabou de declarar que ganhar eleição é uma coisa, assumir o poder é outra - Jair Bolsonaro (PSL);VERDADE;AGÊNCIA LUPA
445;Ao completar 5 anos de idade, a criança passa a ser propriedade do Estado! Cabe a nós decidir se menino será menina e vice-versa! Aos pais cabe acatar nossa decisão respeitosamente! Sabemos o que é melhor para as crianças! - Fernando Haddad (PT);FALSO;AGÊNCIA LUPA
